Содержание,Сервис,Статус,Функциональная группа,Крайний срок,Дата обращения,Тип обращения на момент подачи,Тип обращения итоговый,Решение,Тип переклассификации,Дата восстановления,Дата закрытия обращения,Система,Место,Ранг важности,День недели обращения,Месяц обращения,Час обращения,День года обращения,Время с обращения до восстановления,Время с обращения до закрытия,Время с обращения до крайнего срока,Время с восстановления до крайнего срока,Время с закрытия до крайнего срока
необходимо предоставить доступ учетной записи пользователя сетевому ресурсу,0,1,343,2018-01-31 07:51:00,2018-01-26 03:34:00,1,1,исполнено,0,2018-01-26 04:01:00,2018-02-02 07:52:00,0,172,0,4,1,3,26,1620,620280,447420,445800,-172860
сброс пароля,7,1,8,2018-01-31 07:51:00,2018-01-26 03:36:00,1,1,выполнен сброс пароля уз пользователь идентифицирован,0,2018-01-26 04:00:00,2018-02-02 07:52:00,7,164,12,4,1,3,26,1440,620160,447300,445860,-172860
заявка,7,1,359,2018-01-31 07:51:00,2018-01-26 03:38:00,1,1,доступ предоставлен,0,2018-01-26 04:41:00,2018-02-02 07:52:00,7,157,11,4,1,3,26,3780,620040,447180,443400,-172860
разблокировка уз region,7,1,8,2018-01-31 07:51:00,2018-01-26 03:41:00,1,1,выполнена разблокировка уз ne_boss пользователь идентифицирован причина блокировки пользователю ясна,0,2018-01-26 03:41:00,2018-01-26 03:46:00,7,157,12,4,1,3,26,0,300,447000,447000,446700
ботнаблюдения система23 ухудшение статуса сервиса,23,1,19,2018-01-31 07:51:00,2018-01-26 03:43:00,1,1,поток отработал штатно,0,2018-01-26 04:51:00,2018-02-02 07:52:00,23,1,12,4,1,3,26,4080,619740,446880,442800,-172860
заменадобавление сертификат сервере система13,13,1,13,2018-01-31 07:51:00,2018-01-26 03:51:00,1,1,сертификатфайл зарегистрирован,0,2018-01-26 16:20:00,2018-02-03 07:52:00,13,161,11,4,1,3,26,44940,705660,446400,401460,-259260
настройка эп сервис22,22,1,137,2018-01-31 07:51:00,2018-01-26 03:51:00,1,1,права предоставлены,0,2018-01-26 13:16:00,2018-01-26 17:03:00,22,161,7,4,1,3,26,33900,47520,446400,412500,398880
настройка эп сервис22,22,1,137,2018-01-31 07:51:00,2018-01-26 03:53:00,1,1,выполнено,0,2018-01-26 07:14:00,2018-01-26 07:26:00,22,155,7,4,1,3,26,12060,12780,446280,434220,433500
заявка,0,1,381,2018-01-28 03:51:00,2018-01-26 03:55:00,1,1,работы обращению выполнены,0,2018-01-28 00:23:00,2018-02-04 07:53:00,0,274,0,4,1,3,26,160080,791880,172560,12480,-619320
заявка,25,1,185,2018-01-28 03:51:00,2018-01-26 03:55:00,1,1,работы обращению выполнены,0,2018-01-26 06:14:00,2018-02-02 07:52:00,25,20,0,4,1,3,26,8340,619020,172560,164220,-446460
заявка предоставление отзыв прав доступа ресурсам,11,1,13,2018-01-28 10:02:00,2018-01-26 04:02:00,1,1,работы обращению выполнены,0,2018-01-26 06:20:00,2018-01-26 06:25:00,11,106,0,4,1,4,26,8280,8580,194400,186120,185820
система24 общие вопросы,43,1,1,2018-02-04 15:36:00,2018-01-26 04:06:00,1,1,пользователь проинформирован внесённом сопровождении электронной почте,0,2018-01-31 11:13:00,2018-02-07 12:31:00,125,1001,12,4,1,4,26,457620,1067100,819000,361380,-248100
разблокировка уз система7 region,7,1,8,2018-01-31 07:51:00,2018-01-26 04:07:00,1,1,выполнена разблокировка уз система7 n_boss причина блокировки пользователю известна,0,2018-01-26 04:07:00,2018-01-26 04:18:00,7,56,12,4,1,4,26,0,660,445440,445440,444780
контроль пу заявка доступ портам,2,1,116,2018-01-31 07:51:00,2018-01-26 04:09:00,1,1,доступ предоставлен согласно заявке,0,2018-01-28 06:48:00,2018-01-28 06:51:00,2,41,0,4,1,4,26,182340,182520,445320,262980,262800
разблокировка уз region,7,1,8,2018-01-31 07:51:00,2018-01-26 04:14:00,1,1,выполнена разблокировка уз ne_boss пользователь идентифицирован причина блокировки пользователю ясна,0,2018-01-26 04:14:00,2018-02-02 07:52:00,7,369,12,4,1,4,26,0,617880,445020,445020,-172860
разблокировка уз region,7,1,8,2018-01-31 07:51:00,2018-01-26 04:20:00,1,1,выполнена разблокировка уз ne_boss пользователь идентифицирован причина блокировки пользователю ясна,0,2018-01-26 04:20:00,2018-02-02 07:52:00,7,159,12,4,1,4,26,0,617520,444660,444660,-172860
обнаружено нарушение целостности обработке задания сзи sn,287,1,211,2018-01-31 07:51:00,2018-01-26 04:22:00,1,1,выполнен пересчет задания кц,0,2018-01-27 02:36:00,2018-02-03 07:52:00,2,1002,0,4,1,4,26,80040,703800,444540,364500,-259260
изменение состава группы,7,1,13,2018-01-31 07:51:00,2018-01-26 04:22:00,1,1,соответствии п регламента взаимодействия письмом см вложение управление группами безопасности система7 создание изменение удаление управление составом групп относящимися региональным итсистемам также группами безопасности система7 связанными предоставлением доступа файловым ресурсам ресурсам печати находится зоне ответственности администраторов информационной безопасности данных итсистем итспециалистов территориального учреждения отвечающих управление данными ресурсами случае специалистов отс отсутствуют необходимые права объекты система7 необходимо инициировать запрос делегирование прав соответствии п,0,2018-01-26 14:07:00,2018-01-28 00:58:00,7,216,11,4,1,4,26,35100,160560,444540,409440,283980
заявка,7,1,334,2018-01-31 07:51:00,2018-01-26 04:24:00,1,1,доступ прекращен,0,2018-01-31 05:16:00,2018-02-07 07:56:00,7,216,11,4,1,4,26,435120,1049520,444420,9300,-605100
заявка,58,1,87,2018-01-31 07:51:00,2018-01-26 04:24:00,1,1,подготовлено предоставление прав выполнено получения пользователем ключевой информации,0,2018-01-28 07:04:00,2018-02-04 08:19:00,58,160,11,4,1,4,26,182400,791700,444420,262020,-347280
заявка,7,1,334,2018-01-31 07:51:00,2018-01-26 04:24:00,1,1,доступ прекращен,0,2018-01-31 04:21:00,2018-02-07 07:56:00,7,216,11,4,1,4,26,431820,1049520,444420,12600,-605100
заявка,21,1,87,2018-01-31 07:51:00,2018-01-26 04:24:00,1,1,выполнено,0,2018-01-29 01:47:00,2018-02-07 07:56:00,21,160,11,4,1,4,26,249780,1049520,444420,194640,-605100
заявка,58,1,87,2018-01-28 04:21:00,2018-01-26 04:24:00,1,1,работы обращению выполнены,0,2018-01-27 04:14:00,2018-02-03 07:52:00,58,160,11,4,1,4,26,85800,703680,172620,86820,-531060
заявка,0,1,303,2018-02-03 05:36:00,2018-01-26 04:24:00,1,1,работы обращению выполнены,0,2018-02-01 03:59:00,2018-02-08 07:55:00,0,216,0,4,1,4,26,516900,1135860,695520,178620,-440340
заявка,21,1,87,2018-01-28 04:21:00,2018-01-26 04:24:00,1,1,работы обращению выполнены,0,2018-01-27 03:56:00,2018-02-03 07:52:00,21,160,11,4,1,4,26,84720,703680,172620,87900,-531060
заявка,7,1,334,2018-01-31 07:51:00,2018-01-26 04:24:00,1,1,доступ прекращен,0,2018-01-31 05:21:00,2018-02-07 07:56:00,7,216,11,4,1,4,26,435420,1049520,444420,9000,-605100
разблокировка учётной записи,7,1,8,2018-01-31 07:51:00,2018-01-26 04:29:00,1,1,выполнена разблокировка уз ne_boss пользователь идентифицирован причина блокировки пользователю ясна,0,2018-01-26 04:36:00,2018-02-02 07:52:00,7,114,12,4,1,4,26,420,616980,444120,443700,-172860
засор раковины мужской санузел,64,1,236,2018-01-31 07:51:00,2018-01-26 04:44:00,1,1,выполнена прочистка раковины специалистами,0,2018-01-27 10:48:00,2018-02-03 12:08:00,64,15,0,4,1,4,26,108240,717840,443220,334980,-274620
контроль пу заявка доступ портам,2,1,169,2018-01-31 07:51:00,2018-01-26 04:46:00,1,1,пользователю предоставлен доступ согласно заявки система500,0,2018-01-28 08:28:00,2018-02-04 09:46:00,2,15,0,4,1,4,26,186120,795600,443100,256980,-352500
заявка,0,1,303,2018-02-15 08:36:00,2018-01-26 04:51:00,1,1,работы обращению выполнены,0,2018-02-03 09:41:00,2018-02-10 10:58:00,0,159,0,4,1,4,26,708600,1318020,1741500,1032900,423480
включение учётной записи,7,1,13,2018-01-31 07:51:00,2018-01-26 04:51:00,1,1,включение уз выполнено,0,2018-01-26 06:14:00,2018-02-02 07:52:00,7,201,11,4,1,4,26,4980,615660,442800,437820,-172860
заявка предоставление отзыв прав доступа ресурсам,11,1,13,2018-02-10 08:24:00,2018-01-26 04:52:00,1,1,работы обращению выполнены,0,2018-01-28 06:09:00,2018-02-04 07:53:00,11,201,0,4,1,4,26,177420,788460,1308720,1131300,520260
заявка,158,1,334,2018-01-31 07:51:00,2018-01-26 04:58:00,1,1,доступ предоставлен,0,2018-01-26 05:33:00,2018-02-02 07:52:00,164,159,0,4,1,4,26,2100,615240,442380,440280,-172860
система26,26,1,464,2018-01-31 07:51:00,2018-01-26 04:59:00,1,1,добрый день рк удалена,0,2018-01-26 12:12:00,2018-01-26 13:43:00,26,163,12,4,1,4,26,25980,31440,442320,416340,410880
изменение состава группы,7,1,13,2018-01-31 07:51:00,2018-01-26 04:59:00,1,1,соответствии п регламента взаимодействия письмом см вложение управление группами безопасности система7 создание изменение удаление управление составом групп относящимися региональным итсистемам также группами безопасности система7 связанными предоставлением доступа файловым ресурсам ресурсам печати находится зоне ответственности администраторов информационной безопасности данных итсистем итспециалистов территориального учреждения отвечающих управление данными ресурсами случае специалистов отс отсутствуют необходимые права объекты система7 необходимо инициировать запрос делегирование прав соответствии п,0,2018-01-26 13:52:00,2018-02-02 15:11:00,7,143,11,4,1,4,26,31980,641520,442320,410340,-199200
перемещение груза,73,1,345,2018-01-31 07:51:00,2018-01-26 05:00:00,1,1,груз переместили,0,2018-01-28 07:14:00,2018-02-04 08:34:00,71,15,0,4,1,5,26,180840,790440,442260,261420,-348180
заявка предоставление отзыв прав доступа ресурсам,41,1,13,2018-01-31 06:17:00,2018-01-26 05:02:00,1,1,работы обращению выполнены,0,2018-01-26 07:49:00,2018-02-02 09:06:00,43,177,0,4,1,5,26,10020,619440,436500,426480,-182940
настройкаконсультация техническое обслуживание,18,1,18,2018-01-31 07:51:00,2018-01-26 05:04:00,1,1,добрый день текущем релизе система18 реализована функция создания новой редакции текущего договорадс дальнейшего внесения исправлений режиме сведения договора редакцииверсии договора вашего договора создана новая редакция статусе проект которую возможно внести необходимые изменения вход редактирование осуществляется нажатию значка карандаш далее необходимо заполнить поле основание внесения исправлений указав причину внесения изменений затем вносить требуемые изменения переход пунктами осуществляется аналогично первичной регистрации договорадс посредством нажатия кнопки далее заполнения необходимо также зарегистрировать договордс осуществить отправку сервис22 реестровый номер изменится наличии дополнительных вопросов просьба перезвонить тел,0,2018-01-26 05:51:00,2018-01-26 11:21:00,18,200,4,4,1,5,26,2820,22620,442020,439200,419400
разблокировка уз region,7,1,8,2018-01-31 07:51:00,2018-01-26 05:04:00,1,1,выполнена разблокировка уз ne_boss пользователь идентифицирован причина блокировки пользователю ясна,0,2018-01-26 05:04:00,2018-02-02 07:52:00,7,161,12,4,1,5,26,0,614880,442020,442020,-172860
заявка предоставление отзыв прав доступа ресурсам,22,1,13,2018-01-31 07:51:00,2018-01-26 05:05:00,1,1,работы обращению выполнены,0,2018-01-26 08:39:00,2018-02-02 09:56:00,101,177,7,4,1,5,26,12840,622260,441960,429120,-180300
изменение состава группы,7,1,13,2018-01-31 07:51:00,2018-01-26 05:11:00,1,1,объект еск ne_boss исключен группы домена ne_boss,0,2018-01-26 14:16:00,2018-01-28 06:49:00,7,13,11,4,1,5,26,32700,178680,441600,408900,262920
настройкаконсультация техническое обслуживание,18,1,18,2018-01-31 07:51:00,2018-01-26 05:13:00,1,1,добрый день контрагент добавлен справочник поставщики подрядчики исполнители наличии дополнительных вопросов просьба перезвонить тел,0,2018-01-26 06:02:00,2018-02-02 07:52:00,18,177,4,4,1,5,26,2940,614340,441480,438540,-172860
заменадобавление сертификат сервере система13,13,1,13,2018-01-31 07:51:00,2018-01-26 05:15:00,1,1,сертификатфайл зарегистрирован,0,2018-01-26 16:20:00,2018-01-27 03:42:00,13,174,11,4,1,5,26,39900,80820,441360,401460,360540
настройкаконсультация техническое обслуживание,18,1,18,2018-01-31 07:51:00,2018-01-26 05:16:00,1,1,добрый день контрагент добавлен справочник поставщики подрядчики исполнители наличии дополнительных вопросов просьба перезвонить тел,0,2018-01-26 06:06:00,2018-02-02 07:52:00,18,177,4,4,1,5,26,3000,614160,441300,438300,-172860
настройкаконсультация техническое обслуживание,18,1,18,2018-01-31 07:51:00,2018-01-26 05:18:00,1,1,добрый день контрагент добавлен справочник поставщики подрядчики исполнители наличии дополнительных вопросов просьба перезвонить тел,0,2018-01-26 06:10:00,2018-02-02 07:52:00,18,177,4,4,1,5,26,3120,614040,441180,438060,-172860
заявка предоставление отзыв прав доступа ресурсам,22,1,13,2018-01-28 05:21:00,2018-01-26 05:21:00,1,1,работы обращению выполнены,0,2018-01-26 15:20:00,2018-01-26 15:21:00,101,122,7,4,1,5,26,35940,36000,172800,136860,136800
контроль пу заявка доступ портам,2,1,169,2018-01-31 07:51:00,2018-01-26 05:21:00,1,1,пользователю предоставлен доступ согласно заявки система500,0,2018-01-26 11:33:00,2018-02-02 12:54:00,2,15,0,4,1,5,26,22320,631980,441000,418680,-190980
настройкаконсультация техническое обслуживание,18,1,18,2018-01-31 07:51:00,2018-01-26 05:28:00,1,1,добрый день текущем релизе система18 реализована функция создания новой редакции текущего договорадс дальнейшего внесения исправлений режиме сведения договора редакцииверсии договора вашего договора создана новая редакция статусе проект которую возможно внести необходимые изменения вход редактирование осуществляется нажатию значка карандаш далее необходимо заполнить поле основание внесения исправлений указав причину внесения изменений затем вносить требуемые изменения переход пунктами осуществляется аналогично первичной регистрации договорадс посредством нажатия кнопки далее заполнения необходимо также зарегистрировать договордс осуществить отправку сервис22 реестровый номер изменится наличии дополнительных вопросов просьба перезвонить тел,0,2018-01-26 06:20:00,2018-02-02 07:52:00,18,20,5,4,1,5,26,3120,613440,440580,437460,-172860
включение учётной записи,7,0,13,2018-01-31 07:51:00,2018-01-26 05:28:00,1,1,запрос отменён пользователем портала самообслуживания,0,2018-01-26 05:33:00,2018-01-26 05:33:00,7,177,11,4,1,5,26,300,300,440580,440280,440280
контроль пу заявка доступ портам,2,1,555,2018-01-31 07:51:00,2018-01-26 05:37:00,1,1,доступ предоставлен согласно заявке,0,2018-01-31 06:55:00,2018-02-07 08:43:00,2,172,0,4,1,5,26,436680,1047960,440040,3360,-607920
